xi,yi,zi,Syy,Vx,Vy,aid,step
86,61,8,0.0,1.56902,-4.4079,[604213],0
87,15,11,0.0,-2.379695,-4.319935,[904240  50042],0
87,22,11,0.0,1.80049,4.03058,[209414],0
87,27,11,0.0,2.351695,-4.426605,[929910 929915],0
87,37,11,0.0,-2.81543,5.344235,[70794 70795],0
87,39,11,0.0,3.34,4.08551,[738033],0
87,40,11,0.0,3.98154,7.83746,[328528],0
87,59,1,0.0,-0.13517,4.45972,[630282 630254],0
88,57,7,0.0,0.9973066666666667,4.077713333333333,[541829 541830 962025],0
89,15,11,0.0,-3.08116,-6.08497,[50030],0
89,27,11,0.0,-3.50436,5.91109,[663876],0
89,31,11,0.0,2.90085,-4.93844,[149484],0
89,50,11,0.0,-1.79466,6.66743,[154390],0
89,52,11,0.0,2.211265,4.914384999999999,[977221 977220],0
90,8,11,0.0,-2.94211,4.8099,[277646],0
90,25,11,0.0,-5.33301,5.28752,[177863],0
90,42,11,0.0,2.4734049999999996,-4.041485,[327434 327438],0
91,9,11,0.0,-0.0691208,6.88975,[334405],0
91,24,11,0.0,-0.841489,5.87675,[601024],0
91,25,11,0.0,1.2237566666666666,-5.236276666666666,[843379 843380 843377],0
91,47,11,0.0,1.65738,-4.61311,[792207],0
91,51,11,0.0,-8.72621,-4.28109,[621810],0
92,33,11,0.0,3.8334099999999998,-3.97569,[509488 509489],0
92,43,11,0.0,0.718051,4.4962,[104611],0
92,44,11,0.0,-5.77663,-4.15622,[447559],0
92,50,5,0.0,-2.16719,5.24437,[985459],0
93,17,11,0.0,-4.11291,4.28405,[804166],0
93,26,11,0.0,4.24632,-6.40472,[539077],0
93,37,11,0.0,-2.36772,-4.62904,[326021],0
94,29,11,0.0,4.11178,4.28373,[911462],0
94,46,8,0.0,-2.85368,5.95092,[272459],0
95,30,11,0.0,-3.64654,-4.28766,[215292],0
95,31,11,0.0,-0.588767,5.47863,[430652],0
95,35,11,0.0,1.15198,-4.676325,[325723 325722],0
95,44,2,0.0,-5.19783,4.56132,[671484],0
96,11,11,0.0,-2.5836699999999997,-4.270775,[295793 961483],0
96,23,11,0.0,-2.58758,4.05593,[599943],0
96,29,11,0.0,-3.89514,-4.19279,[81558],0
96,36,11,0.0,4.13611,11.2008,[98049],0
96,39,11,0.0,0.1854523333333333,4.334173333333333,[359638 733437 733438],0
97,16,11,0.0,1.7483739999999999,4.481358999999999,[257861 257862],0
97,21,11,0.0,0.439692,-5.90229,[708951],0
97,39,11,0.0,1.47071,5.49892,[102024],0
98,2,11,0.0,0.292249,-4.35092,[981729],0
98,8,11,0.0,-7.01853,5.52775,[486046],0
98,12,11,0.0,-0.701419,8.36587,[137920],0
99,35,11,0.0,-5.57222,5.81706,[98081],0
100,12,11,0.0,1.60334,-7.01135,[574073],0
100,14,11,0.0,0.611411,7.67427,[244036],0
100,20,11,0.0,3.4713830999999997,4.471555,[843600 535560],0
100,34,0,0.0,0.6944250000000001,4.3586100000000005,[740478 799317],0
101,10,11,0.0,-1.50956,4.7549,[920774],0
101,24,11,0.0,-1.38248,4.91247,[383444],0
101,27,11,0.0,-1.3928913,-4.85649,[714689 714688],0
101,30,11,0.0,0.802619,-7.81173,[344903],0
101,31,11,0.0,-2.36453,-5.48019,[778257],0
101,32,2,0.0,3.33484,-7.61326,[956886],0
101,32,3,0.0,-3.90749,-4.16817,[964663],0
101,32,4,0.0,0.9971765,5.74799,[256855 256854],0
101,32,9,0.0,-4.8205100000000005,-4.975355,[963727 963728],0
102,9,11,0.0,6.7274,7.87478,[666062],0
102,30,2,0.0,-6.17937,6.22295,[396765],0
102,30,6,0.0,-0.139482,10.256,[230298],0
102,30,8,0.0,-1.552686,5.449465,[54404 54403],0
103,3,11,0.0,-3.477435,5.649035,[605056 806909],0
103,20,11,0.0,-0.5369000000000002,-4.51115,[ 34859 691490],0
103,28,5,0.0,3.3646740000000004,4.17631,[708441 708442 708443],0
103,28,11,0.0,-2.04263,-4.90635,[231349],0
104,23,11,0.0,-0.143162,4.38336,[864056],0
105,11,11,0.0,0.3832087,5.50225,[633873  83235],0
106,18,11,0.0,4.22008,-6.10959,[600898],0
107,17,11,0.0,1.79054,-4.0824,[352402],0
107,20,7,0.0,-0.56731205,4.163365000000001,[623676 623675],0
108,18,0,0.0,-3.373315,-5.285534999999999,[101449 101448],0
109,16,6,0.0,-1.6693829999999998,-3.9786652000000005,[495204  78621 495201 495203 495202],0
110,1,11,0.0,-1.2713145,4.481985,[152103 152107],0
110,5,11,0.0,-2.50558,5.54814,[921319],0
112,2,11,0.0,-0.679259,3.97653,[766566],0
112,8,11,0.0,2.2928070000000003,4.602515,[940629 939706],0
112,10,11,0.0,1.82065,7.98428,[93962],0
113,9,0,0.0,1.69186,-5.64553,[633712],0
114,5,11,0.0,-1.10627,-8.05677,[953697],0
117,1,4,0.0,-1.37002,7.21084,[156226],0
2,55,1,-7.697899999999999,-4.470025,-4.431275,[829042 311277],1
2,59,11,-5.4718,-2.87232,4.12739,[912384],1
2,60,11,21.43625,-0.6444915,4.28769,[405011 405013],1
3,53,1,-7.61103,-0.35326,-4.44509,[898986],1
3,53,6,0.4978600000000002,0.8096505,-4.585155,[112096 112095],1
4,51,10,15.2308,2.40754,-6.65849,[597590],1
4,54,11,-86.2209,0.259625,4.07218,[515532],1
4,57,11,-4.995983333333334,-1.3888833333333332,4.113676666666667,[749022 749024  75307],1
5,49,0,-25.2457,0.140414,5.09268,[171853],1
6,47,3,-0.6545,-3.324,4.28841,[988198],1
6,47,7,-1.77625,-0.211454,-4.57486,[275273],1
6,53,11,-61.5573,5.88521,5.75019,[384494],1
6,57,11,3.5549025000000003,0.6619404999999999,-4.377195,[749032 749034 749038 749036],1
7,45,0,18.8945,2.52061,5.91122,[792187],1
