xi,yi,zi,Syy,Vx,Vy,aid,step
20,46,11,-6.072585,-6.21535,-0.7681745,[628652 628653],1
21,33,11,-20.9138,-7.83531,3.09035,[703046],1
22,24,11,24.9467,4.76976,-2.770315,[231498 231491],1
22,37,11,23.5273,-4.74072,-1.69025,[389684],1
22,60,11,-12.3856,-4.86387,-0.214646,[176371],1
23,15,1,-26.1126,-4.129696666666667,-4.467116666666667,[329294 329295 751341],1
23,30,11,-34.3909,5.63839,1.54057,[24435],1
23,36,11,9.562999999999999,-4.257565,0.6792145,[389846 237020],1
23,40,11,-65.9291,-4.49981,-2.07195,[613126],1
23,46,11,1.44556,-6.74242,3.00956,[394486],1
23,53,11,20.4282,-8.14814,1.91699,[485066],1
24,34,11,-37.1644,-5.90085,1.5958,[935650],1
24,51,11,-21.7199,6.57769,3.05136,[214184],1
24,57,11,27.3787,-6.54279,-2.77554,[185873],1
25,21,11,34.2622,-4.26164,1.18246,[653723],1
25,26,11,6.79558,-4.0389,8.29908,[52790],1
25,29,11,16.0813,9.13099,2.88629,[60078],1
25,36,11,-46.9655,-6.83559,-3.14979,[226828],1
26,27,11,-83.1987,-4.23184,2.01245,[308182],1
27,44,11,-22.3436,-4.46428,-4.78736,[741903],1
27,45,11,-18.6493,-5.960583333333333,1.8307476666666667,[741904 741907 741908],1
27,50,11,-36.6601,-5.67167,1.06417,[214202],1
27,56,11,12.2519,6.3221,-1.56499,[185853],1
